"FirmID","Cohort_Year","Year","VP","Gov","Treated","EventTime"
"IVVD US Equity",NA,2021,NA,NA,0,NA
"IVVD US Equity",NA,2022,NA,NA,0,NA
"IVVD US Equity",NA,2023,NA,NA,0,NA
"IVVD US Equity",NA,2024,-5.79,NA,0,NA
"IVVD US Equity",NA,2025,-1.53,NA,0,NA
"JANX US Equity",NA,2019,NA,NA,0,NA
"JANX US Equity",NA,2020,NA,NA,0,NA
"JANX US Equity",NA,2021,79.26,NA,0,NA
"JANX US Equity",NA,2022,26.87,NA,0,NA
"JANX US Equity",NA,2023,209.58,5.364679813,0,NA
"JANX US Equity",NA,2024,75.58,4.993055344,0,NA
"JANX US Equity",NA,2025,NA,6.623470306,0,NA
"JBIO US Equity",NA,2019,NA,NA,0,NA
"JBIO US Equity",NA,2020,NA,NA,0,NA
"JBIO US Equity",NA,2021,NA,NA,0,NA
"JBIO US Equity",NA,2022,NA,NA,0,NA
"JBIO US Equity",NA,2023,NA,5.218697548,0,NA
"JBIO US Equity",NA,2024,NA,5.611710072,0,NA
"JBIO US Equity",NA,2025,NA,5.612758636,0,NA
"KNSA US Equity",NA,2019,NA,NA,0,NA
"KNSA US Equity",NA,2020,NA,NA,0,NA
"KNSA US Equity",NA,2021,3.47,NA,0,NA
"KNSA US Equity",NA,2022,-3.47,NA,0,NA
"KNSA US Equity",NA,2023,-0.73,5.778967381,0,NA
"KNSA US Equity",NA,2024,-3.79,6.779150009,0,NA
"KNSA US Equity",NA,2025,-2.27,6.425763607,0,NA
"KROS US Equity",NA,2019,NA,NA,0,NA
"KROS US Equity",NA,2020,NA,NA,0,NA
"KROS US Equity",NA,2021,42.39,NA,0,NA
"KROS US Equity",NA,2022,NA,NA,0,NA
"KROS US Equity",NA,2023,14118.08,5.176873684,0,NA
"KROS US Equity",NA,2024,NA,5.101464748,0,NA
"KROS US Equity",NA,2025,-6.53,5.168884754,0,NA
"KRYS US Equity",NA,2019,NA,NA,0,NA
"KRYS US Equity",NA,2020,NA,NA,0,NA
"KRYS US Equity",NA,2021,NA,NA,0,NA
"KRYS US Equity",NA,2022,NA,NA,0,NA
"KRYS US Equity",NA,2023,61.73,5.964541435,0,NA
"KRYS US Equity",NA,2024,3.36,5.716024876,0,NA
"KRYS US Equity",NA,2025,9.83,6.202813625,0,NA
"KYMR US Equity",2021,2019,NA,NA,0,-2
"KYMR US Equity",2021,2020,42.07,NA,0,-1
"KYMR US Equity",2021,2021,3.57,NA,1,0
"KYMR US Equity",2021,2022,15.8,NA,1,1
"KYMR US Equity",2021,2023,11.46,5.908942223,1,2
"KYMR US Equity",2021,2024,13.44,6.298169613,1,3
"KYMR US Equity",2021,2025,148.97,6.09162426,1,4
"LCTX US Equity",NA,2019,15.24,NA,0,NA
"LCTX US Equity",NA,2020,178.06,NA,0,NA
